Timestamp,Date,Time,AC_Power,DC_Power,Voltage_AC,Current_AC,Frequency,Efficiency,Status_Flags
2025-04-04 05:03:46,2025-04-04,05:03:46,0.0,0.0055,226.6,0.0,50.0,1,0
2025-04-04 05:05:50,2025-04-04,05:05:50,0.0,0.0055,226.5,0.0,49.9,1,0
2025-04-04 05:07:52,2025-04-04,05:07:52,0.0,0.0055,226.1,0.0,49.9,1,0
2025-04-04 05:09:57,2025-04-04,05:09:57,0.0,0.0055,226.3,0.0,49.9,1,0
2025-04-04 05:12:07,2025-04-04,05:12:07,0.0,0.0055,226.5,0.0,50.0,1,0
2025-04-04 05:14:09,2025-04-04,05:14:09,0.0,0.0055,225.5,0.0,50.0,1,0
2025-04-04 05:16:10,2025-04-04,05:16:10,0.0,0.0055,226.5,0.0,50.0,1,0
2025-04-04 05:18:18,2025-04-04,05:18:18,0.0,0.0056,226.3,0.0,50.0,1,0
2025-04-04 05:20:24,2025-04-04,05:20:24,0.0,0.0056,225.6,0.0,49.9,1,0
2025-04-04 05:22:32,2025-04-04,05:22:32,0.0,0.0114,226.1,0.0,50.0,1,0
2025-04-04 05:25:40,2025-04-04,05:25:40,0.0,0.005900000000000001,225.4,0.0,50.0,1,0
2025-04-04 05:27:46,2025-04-04,05:27:46,0.0,0.0062,225.9,0.0,50.0,1,0
2025-04-04 05:29:50,2025-04-04,05:29:50,0.0,0.0063,227.0,0.0,50.0,1,0
2025-04-04 05:32:13,2025-04-04,05:32:13,0.0,0.0067,226.0,0.0,50.0,1,0
2025-04-04 05:34:19,2025-04-04,05:34:19,0.0,0.0074,225.8,0.0,50.0,1,0
2025-04-04 05:36:20,2025-04-04,05:36:20,0.0,0.008400000000000001,225.7,0.0,50.0,1,0
2025-04-04 05:38:47,2025-04-04,05:38:47,0.0,0.0114,225.7,0.0,50.0,1,0
2025-04-04 05:40:53,2025-04-04,05:40:53,0.0,0.0238,225.2,0.0,50.0,1,0
2025-04-04 05:42:57,2025-04-04,05:42:57,0.0,0.0147,225.0,0.0,50.0,1,0
2025-04-04 05:45:03,2025-04-04,05:45:03,0.0,0.0263,224.9,0.0,50.0,1,0
2025-04-04 05:47:19,2025-04-04,05:47:19,0.0,0.016300000000000002,224.8,0.0,50.0,1,0
2025-04-04 05:49:31,2025-04-04,05:49:31,0.0,0.1181,225.2,0.0,50.0,1,0
2025-04-04 05:52:31,2025-04-04,05:52:31,0.0,0.1261,225.0,0.0,50.0,1,0
2025-04-04 05:54:34,2025-04-04,05:54:34,0.0574,0.0582,225.2,4.1,50.0,1,0
2025-04-04 05:56:40,2025-04-04,05:56:40,0.0777,0.0788,225.4,3.5,50.0,1,0
2025-04-04 05:58:41,2025-04-04,05:58:41,0.060700000000000004,0.0616,226.5,2.3,50.0,1,0
2025-04-04 06:00:52,2025-04-04,06:00:52,0.0515,0.0522,225.1,3.1,50.0,1,0
2025-04-04 06:03:03,2025-04-04,06:03:03,0.0691,0.0701,225.2,3.7,50.0,1,0
2025-04-04 06:05:16,2025-04-04,06:05:16,0.1139,0.1156,225.2,3.4,50.0,1,0
2025-04-04 06:07:54,2025-04-04,06:07:54,0.15719999999999998,0.16219999999999998,225.3,3.4,50.0,1,0
2025-04-04 06:10:04,2025-04-04,06:10:04,0.2323,0.2432,225.2,3.6,50.0,1,0
2025-04-04 06:12:15,2025-04-04,06:12:15,0.2772,0.2779,225.4,3.5,50.0,1,0
